Site,Label,Province,LatPrecision,LonPrecision,AdjustedLat,AdjustedLon,PleiadesLat,PleiadesLon
urn:cite:rage:ptolgeo.pt-ll-1627,Enna (á¼œÎ½Î½Î±),sicilia,1/12,1/12,36.7735714263304384477436542510986328125,13.2735714265804384477436542510986328125,14.279558,37.567652000000002
urn:cite:rage:ptolgeo.pt-ll-1611,Kapution (ÎšÎ±Ï€á½»Ï„Î¹Î¿Î½),sicilia,1/4,1/3,37.607142857175,13.4521428604772817313671112060546875,14.479089999999999,37.848970999999999
urn:cite:rage:ptolgeo.pt-ll-1612,Abakaina (á¼ˆÎ²á½±ÎºÎ±Î¹Î½Î±),sicilia,1/4,0,37.607142857175,13.92857142885,15.102036999999999,38.056258
urn:cite:rage:ptolgeo.pt-ll-1613,Imikhara (á¼¸Î¼á½·Ï‡Î±ÏÎ±),sicilia,0,1/2,37.4285714286,13.57142857170,14.398111999999999,37.748624999999997
urn:cite:rage:ptolgeo.pt-ll-1614,Tissa (Î¤á½·ÏƒÏƒÎ±),sicilia,0,5/6,37.4285714286,13.8092857176272817313671112060546875,,
urn:cite:rage:ptolgeo.pt-ll-1615,AlÄ“ta (á¼ŒÎ»Î·Ï„Î±),sicilia,5/6,5/6,37.3092857173772817313671112060546875,13.0950000033272817313671112060546875,,
urn:cite:rage:ptolgeo.pt-ll-1616,Kentouripai (ÎšÎµÎ½Ï„Î¿á½»ÏÎ¹Ï€Î±Î¹),sicilia,5/6,1/2,37.3092857173772817313671112060546875,13.57142857170,14.740017,37.624073000000003
urn:cite:rage:ptolgeo.pt-ll-1617,DumÄ“thos (Î”á½»Î¼Î·Î¸Î¿Ï‚),sicilia,5/6,5/6,37.3092857173772817313671112060546875,13.8092857176272817313671112060546875,,
urn:cite:rage:ptolgeo.pt-ll-1618,Aitnai (Î‘á¼´Ï„Î½Î±Î¹),sicilia,3/4,5/12,37.250000000025,14.225714292129563462734222412109375,,
urn:cite:rage:ptolgeo.pt-ll-1619,Agourion (á¼ˆÎ³Î¿á½»ÏÎ¹Î¿Î½),sicilia,2/3,1/4,37.1907142826727182686328887939453125,13.392857143125,13.585475000000001,37.290593999999999
urn:cite:rage:ptolgeo.pt-ll-1620,Herbita (á¼ÏÎ²Î¹Ï„Î±),sicilia,1/2,2/3,37.07142857145,12.9764285686227182686328887939453125,,
urn:cite:rage:ptolgeo.pt-ll-1621,Sergention (Î£ÎµÏÎ³á½³Î½Ï„Î¹Î¿Î½),sicilia,1/2,1/2,37.07142857145,13.57142857170,,
urn:cite:rage:ptolgeo.pt-ll-1622,Leontion (Î›Îµá½¹Î½Ï„Î¹Î¿Î½),sicilia,1/2,0,37.07142857145,13.92857142885,14.998115,37.285477999999998
urn:cite:rage:ptolgeo.pt-ll-1623,ErbÄ“ssos (á¼˜ÏÎ²Î·ÏƒÏƒá½¹Ï‚),sicilia,1/3,5/6,36.9521428602272817313671112060546875,13.0950000033272817313671112060546875,,
urn:cite:rage:ptolgeo.pt-ll-1624,Menai (ÎœÎµÎ½Î±á½·),sicilia,5/12,5/6,37.011428577579563462734222412109375,13.8092857176272817313671112060546875,14.690939999999999,37.266404000000001
urn:cite:rage:ptolgeo.pt-ll-1625,PatiÅros (Î Î±Ï„á½·Ï‰ÏÎ¿Ï‚),sicilia,1/6,1/3,36.8335714255227182686328887939453125,12.7378571461772817313671112060546875,,
urn:cite:rage:ptolgeo.pt-ll-1626,AssÅros (á¼ŒÏƒÏƒÏ‰ÏÎ¿Ï‚),sicilia,1/3,2/3,36.9521428602272817313671112060546875,12.9764285686227182686328887939453125,14.423874,37.628433999999999
urn:cite:rage:ptolgeo.pt-ll-1628,Megara (Îœá½³Î³Î±ÏÎ±),sicilia,1/4,1/4,36.892857142875,14.107142857425,15.181777000000002,37.203716999999997
urn:cite:rage:ptolgeo.pt-ll-1629,Petra (Î á½³Ï„ÏÎ±),sicilia,1/12,2/3,36.7735714263304384477436542510986328125,13.6907142829227182686328887939453125,,
urn:cite:rage:ptolgeo.pt-ll-1630,Hubla (á½Î²Î»Î±),sicilia,0,1/3,36.7142857143,13.4521428604772817313671112060546875,14.742149,36.926662999999998
urn:cite:rage:ptolgeo.pt-ll-1631,Egguon (á¼œÎ³Î³Ï…Î¿Î½),sicilia,0,0,36.7142857143,13.92857142885,14.591438,37.786715000000001
urn:cite:rage:ptolgeo.pt-ll-1632,Kortuga (Îšá½¹ÏÏ„Ï…Î³Î±),sicilia,5/6,1/3,36.5950000030772817313671112060546875,13.4521428604772817313671112060546875,,
urn:cite:rage:ptolgeo.pt-ll-1633,Makuron (Îœá½±ÎºÏ…ÏÎ¿Î½),sicilia,5/6,2/3,36.5950000030772817313671112060546875,13.6907142829227182686328887939453125,,
urn:cite:rage:ptolgeo.pt-ll-1634,Akrai (á¼ŒÎºÏÎ±Î¹),sicilia,2/3,1/4,36.4764285683727182686328887939453125,14.107142857425,14.89428,37.058385999999999
urn:cite:rage:ptolgeo.pt-ll-1635,Makella (Îœá½±ÎºÎµÎ»Î»Î±),sicilia,2/3,1/4,36.4764285683727182686328887939453125,12.678571428825,,
urn:cite:rage:ptolgeo.pt-ll-1636,SkhÄ“ra (Î£Ï‡á½µÏÎ±),sicilia,5/6,1/2,36.5950000030772817313671112060546875,12.85714285740,,
urn:cite:rage:ptolgeo.pt-ll-1637,Triokala (Î¤ÏÎ¹á½¹ÎºÎ±Î»Î±),sicilia,3/4,0,36.535714285725,13.21428571455,13.217575,37.578612
urn:cite:rage:ptolgeo.pt-ll-1638,Akragas (á¼ˆÎºÏá½±Î³Î±Ï‚),sicilia,2/3,1/2,36.4764285683727182686328887939453125,13.57142857170,13.75,37.25
urn:cite:rage:ptolgeo.pt-ll-1639,Motuka (Îœá½¹Ï„Ï…ÎºÎ±),sicilia,2/3,5/12,36.4764285683727182686328887939453125,14.225714292129563462734222412109375,12.470129999999999,37.869838999999999
urn:cite:rage:ptolgeo.pt-ll-1640,Segesta (Î£ÎµÎ³á½³ÏƒÏ„Î±),sicilia,1/2,1/12,36.35714285715,12.5592857122804384477436542510986328125,12.839871,37.939199000000002
urn:cite:rage:ptolgeo.pt-ll-1641,LÄ“ton (Î›á¿†Ï„Î¿Î½),sicilia,1/3,1/2,36.2378571459272817313671112060546875,12.85714285740,,
urn:cite:rage:ptolgeo.pt-ll-1642,Entella (á¼œÎ½Ï„ÎµÎ»Î»Î±),sicilia,1/2,3/4,36.35714285715,13.035714285975,13.184127999999999,37.728870999999998
urn:cite:rage:ptolgeo.pt-ll-1643,Ankrina (á¼ˆÎ½ÎºÏá½·Î½Î±),sicilia,7/12,1/6,36.4164285745022817313671112060546875,13.3335714257727182686328887939453125,,
